Country,Region ,2019,2020,2021,2022,2023
Czechia,Europe ,24062.719,23472.89155,27696.46195,28282.22367,31591.17707
Lithuania,Europe ,19727.76075,20541.82499,23934.72849,25085.78406,27786.00578
Slovak Republic,Europe ,19406.05897,19735.48583,22138.19498,21342.76667,24491.37719
Latvia,Europe ,17294.97516,17564.23215,20262.84339,20229.46136,22502.84299
Hungary,Europe ,16786.21364,16131.95404,18755.10235,18353.29836,22141.86698
Poland,Europe ,15874.52205,15987.57537,18635.51049,18891.21212,22056.66617
Croatia,Europe ,15563.81674,14808.46202,17789.93047,18466.09555,21865.45628
Romania,Europe ,12992.03261,13082.30066,14986.78549,15557.88262,18404.27309
