Country,Region ,2019,2020,2021,2022,2023
Uruguay,South America ,18315.73529,15789.68574,17888.21151,20691.9739,22797.81117
Chile,South America,14495.71672,13114.81547,16216.57065,15451.13196,17067.81362
Costa Rica,South America,12884.686,12394.0494,12838.11854,13625.90085,16942.02681
