Country,Region ,2019,2020,2021,2022,2023
United States,North America ,65604.68152,64411.37318,71318.30736,78035.17536,82769.41221
Canada,North America ,46352.86934,43537.8393,52496.84417,55509.39318,53431.18571
Puerto Rico,North America ,32916.8668,31427.42911,32619.25042,35268.0791,36779.05949
Bahamas,North America ,32979.54013,25155.67254,28682.327,33044.38821,35896.50511
Panama,North America ,16477.90663,13290.56083,15509.80691,17332.43607,18686.4051
