Country,Region ,2019,2020,2021,2022,2023
Singapore,Asia,66081.71992,61466.80368,79601.41296,88428.70242,84734.25592
Macao SAR,Asia,81967.69917,36976.25611,45376.31459,36909.95641,67476.52908
Hong Kong,Asia,48359.0012,46109.22999,49770.56424,48826.05277,50531.73854
Japan,Asia,40415.95676,40040.76551,40058.53733,34017.27181,33766.52683
Korea Rep,Asia ,31902.4169,31721.29891,35125.5225,32394.68337,33121.37129
