Country,Region ,2019,2020,2021,2022,2023
Malta,Europe ,32412.26978,31796.82134,38027.38017,36142.20585,40395.76921
Italy,Europe ,33812.78872,32091.48666,36852.54254,35635.74422,39003.3161
Sint Maarten (Dutch part),Europe ,34861.46953,30150.89984,32548.43669,36476.63008,38077.54449
Spain,Europe ,29776.20115,27230.35999,30817.68286,30287.36576,33509.0128
Portugal,Europe ,23343.3629,22299.40441,24711.45101,24620.51956,27331.20949
Greece,Europe ,19335.3602,17886.73317,20654.7002,20971.83493,23400.72788
