Country,Region ,2019,2020,2021,2022,2023
Bermuda,other,115798.0408,106973.1757,112712.0251,120897.3112,125841.6025
Faroe Islands,other,63064.63431,62236.08666,68736.50561,66108.73365,71717.70422
Australia,Other,54972.70179,51791.54018,60607.77886,64997.01365,64820.91179
New Zealand,Other,42747.20993,41785.69229,49624.18167,48216.50958,48280.81142
Andorra,other,41257.80458,37361.09007,42425.69968,42414.05901,46812.44845
Aruba,other,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062
Estonia,other,24021.25014,23933.99394,27953.76702,28451.14778,30133.30445
Guyana,other,6405.824434,6775.709391,9860.872334,17913.49101,20765.35036
Seychelles,other,19141.51187,14041.47541,14982.91115,17167.19098,17879.23965
