Country,Region ,2019,2020,2021,2022,2023
Qatar,Middle East ,66841.30135,51683.50544,71751.88312,88701.46335,80195.87465
Israel,Middle East ,44140.82894,44679.77158,52255.61591,54930.72616,52642.42675
UAE,Middle East ,44251.45414,37173.87541,43360.0211,49899.0653,49040.69475
Cyprus,Middle East ,29703.05273,28649.01563,33734.29297,33938.94531,36551.41797
Kuwait,Middle East ,31707.87375,25236.07555,34043.54215,40077.23805,33729.79855
Turkey,Middle East ,27273.4377,17452.6578,23114.79021,26802.06738,30348.81144
Bahrain,Middle East ,27259.74386,24342.84446,27147.80839,30616.26107,29218.86056
Oman,Middle East,19180.18642,16784.86306,19403.46002,23665.63947,21549.83687
